;year;countryName;regionName;HEMOGLOBINLEVEL_PREGNANT_MEAN;HEMOGLOBINLEVEL_NONPREGNANT_ME;AIR_11;WSH_10
102;2019;Saint Lucia;Americas;122.0;133.0;83.11864000000001;1
103;2019;Trinidad and Tobago;Americas;121.0;130.0;0.0;1
104;2019;Uruguay;Americas;118.0;131.0;0.0;1
105;2019;Saint Vincent and the Grenadines;Americas;121.0;132.0;60.29255999999999;1
106;2019;Antigua and Barbuda;Americas;121.0;131.0;0.0;1
107;2019;Bahamas;Americas;122.0;132.0;0.0;1
108;2019;Guatemala;Americas;124.0;137.0;29838.32637;1
109;2019;Guyana;Americas;116.0;125.0;1379.52126;1
110;2019;Honduras;Americas;119.0;131.0;18960.85359;1
112;2019;United States of America;Americas;122.0;132.0;0.0;1
113;2019;Venezuela (Bolivarian Republic of);Americas;118.0;128.0;7047.84524;1
114;2019;Argentina;Americas;120.0;133.0;3395.10891;1
115;2019;Japan;Western Pacific;117.0;128.0;0.0;1
116;2019;Cambodia;Western Pacific;109.0;120.0;46770.46991;1
118;2019;Republic of Korea;Western Pacific;120.0;130.0;0.0;1
119;2019;Lao People's Democratic Republic;Western Pacific;110.0;123.0;24217.50755;1
120;2019;Mongolia;Western Pacific;117.0;132.0;9680.97262;1
121;2019;Malaysia;Western Pacific;115.0;124.0;17903.46703;1
122;2019;Philippines;Western Pacific;117.0;132.0;377763.93239000003;1
124;2019;China;Western Pacific;122.0;133.0;2911380.2538900003;1
125;2019;Fiji;Western Pacific;113.0;124.0;2356.17415;1
127;2019;New Zealand;Western Pacific;120.0;132.0;0.0;1
128;2019;Singapore;Western Pacific;120.0;131.0;0.0;1
130;2019;Tonga;Western Pacific;115.0;127.0;97.36796;1
131;2019;Samoa;Western Pacific;114.0;128.0;615.69585;1
132;2019;Viet Nam;Western Pacific;117.0;129.0;246038.08997;1
134;2019;Australia;Western Pacific;121.0;133.0;0.0;1
135;2019;Brunei Darussalam;Western Pacific;118.0;130.0;0.0;1
149;2019;Botswana;Africa;116.0;125.0;5165.840279999999;1
156;2019;Cabo Verde;Africa;116.0;128.0;624.3507699999999;1
157;2019;Algeria;Africa;115.0;124.0;2667.86471;1
160;2019;Mauritius;Africa;118.0;129.0;544.83339;1
165;2019;Sao Tome and Principe;Africa;109.0;121.0;662.8705500000001;1
166;2019;Gabon;Africa;108.0;118.0;1315.4339700000003;1
167;2019;Ghana;Africa;111.0;124.0;75522.84556;1
171;2019;Seychelles;Africa;118.0;128.0;0.0;1
179;2019;South Africa;Africa;118.0;127.0;57560.06143;1
8;2019;Pakistan;Eastern Mediterranean;111.0;121.0;611700.1620199999;2
10;2019;Djibouti;Eastern Mediterranean;114.0;126.0;3494.3814;2
