;year;countryName;regionName;WSH_10;HEMOGLOBINLEVEL_PREGNANT_MEAN;HEMOGLOBINLEVEL_NONPREGNANT_ME;AIR_11
89;2019;Bolivia (Plurinational State of);Americas;1272.0;116.0;129.0;12636.39176
90;2019;Brazil;Americas;5452.0;121.0;132.0;67847.78982
91;2019;Canada;Americas;297.0;120.0;132.0;0.0
92;2019;Chile;Americas;119.0;121.0;134.0;0.0
93;2019;Colombia;Americas;775.0;120.0;130.0;19740.880810000002
94;2019;Costa Rica;Americas;94.0;121.0;132.0;892.56348
95;2019;Cuba;Americas;205.0;120.0;130.0;11246.636129999999
96;2019;Dominican Republic;Americas;773.0;117.0;127.0;6544.46243
97;2019;Ecuador;Americas;454.0;119.0;129.0;4293.26499
98;2019;El Salvador;Americas;278.0;121.0;134.0;3314.0680599999996
99;2019;Suriname;Americas;40.0;119.0;129.0;288.77106999999995
100;2019;Barbados;Americas;2.0;121.0;131.0;0.0
101;2019;Grenada;Americas;2.0;119.0;130.0;108.31271
102;2019;Saint Lucia;Americas;6.0;122.0;133.0;83.11864000000001
103;2019;Trinidad and Tobago;Americas;8.0;121.0;130.0;0.0
104;2019;Uruguay;Americas;48.0;118.0;131.0;0.0
105;2019;Saint Vincent and the Grenadines;Americas;3.0;121.0;132.0;60.29255999999999
106;2019;Antigua and Barbuda;Americas;0.0;121.0;131.0;0.0
107;2019;Bahamas;Americas;1.0;122.0;132.0;0.0
108;2019;Guatemala;Americas;3396.0;124.0;137.0;29838.32637
109;2019;Guyana;Americas;66.0;116.0;125.0;1379.52126
110;2019;Honduras;Americas;1178.0;119.0;131.0;18960.85359
111;2019;Haiti;Americas;4812.0;110.0;119.0;53293.41709
112;2019;United States of America;Americas;3559.0;122.0;132.0;0.0
113;2019;Venezuela (Bolivarian Republic of);Americas;1428.0;118.0;128.0;7047.84524
114;2019;Argentina;Americas;585.0;120.0;133.0;3395.10891
115;2019;Japan;Western Pacific;971.0;117.0;128.0;0.0
116;2019;Cambodia;Western Pacific;3424.0;109.0;120.0;46770.46991
117;2019;Kiribati;Western Pacific;77.0;113.0;125.0;623.81275
118;2019;Republic of Korea;Western Pacific;327.0;120.0;130.0;0.0
119;2019;Lao People's Democratic Republic;Western Pacific;2553.0;110.0;123.0;24217.50755
120;2019;Mongolia;Western Pacific;119.0;117.0;132.0;9680.97262
121;2019;Malaysia;Western Pacific;2250.0;115.0;124.0;17903.46703
122;2019;Philippines;Western Pacific;10914.0;117.0;132.0;377763.93239000003
123;2019;Papua New Guinea;Western Pacific;3900.0;112.0;125.0;29180.89086
124;2019;China;Western Pacific;11237.0;122.0;133.0;2911380.2538900003
125;2019;Fiji;Western Pacific;133.0;113.0;124.0;2356.17415
126;2019;Micronesia (Federated States of);Western Pacific;18.0;115.0;128.0;599.0579
127;2019;New Zealand;Western Pacific;28.0;120.0;132.0;0.0
128;2019;Singapore;Western Pacific;10.0;120.0;131.0;0.0
129;2019;Solomon Islands;Western Pacific;340.0;110.0;123.0;3318.71845
130;2019;Tonga;Western Pacific;7.0;115.0;127.0;97.36796
131;2019;Samoa;Western Pacific;18.0;114.0;128.0;615.69585
132;2019;Viet Nam;Western Pacific;5915.0;117.0;129.0;246038.08997
133;2019;Vanuatu;Western Pacific;125.0;118.0;127.0;1432.0013599999997
134;2019;Australia;Western Pacific;105.0;121.0;133.0;0.0
135;2019;Brunei Darussalam;Western Pacific;2.0;118.0;130.0;0.0
136;2019;Kenya;Africa;25499.0;113.0;128.0;89130.35784000001
137;2019;Liberia;Africa;2938.0;110.0;122.0;11760.90302
138;2019;Lesotho;Africa;3811.0;115.0;128.0;12915.67442
139;2019;Madagascar;Africa;18405.0;114.0;123.0;85380.57293000001
140;2019;Mali;Africa;24935.0;105.0;115.0;47437.0125
141;2019;Mozambique;Africa;23619.0;110.0;120.0;105806.59982
142;2019;Mauritania;Africa;3187.0;110.0;121.0;7583.03136
143;2019;Malawi;Africa;9844.0;114.0;126.0;35289.65958
144;2019;Namibia;Africa;1056.0;117.0;129.0;5736.961979999999
145;2019;Niger;Africa;30685.0;107.0;119.0;65756.96119
146;2019;Nigeria;Africa;285298.0;107.0;117.0;529974.62972
147;2019;Benin;Africa;13271.0;105.0;117.0;38593.87229
148;2019;Burkina Faso;Africa;22714.0;107.0;118.0;53164.641229999994
149;2019;Botswana;Africa;818.0;116.0;125.0;5165.840279999999
150;2019;Central African Republic;Africa;8494.0;109.0;120.0;22256.377160000004
151;2019;Côte d'Ivoire;Africa;21168.0;107.0;118.0;64840.02105000001
152;2019;Cameroon;Africa;22111.0;112.0;122.0;67874.92455999998
153;2019;Democratic Republic of the Congo;Africa;82837.0;111.0;122.0;287940.24202999996
154;2019;Congo;Africa;2327.0;109.0;120.0;11158.15837
155;2019;Comoros;Africa;653.0;114.0;125.0;2305.91828
156;2019;Cabo Verde;Africa;62.0;116.0;128.0;624.3507699999999
157;2019;Algeria;Africa;1646.0;115.0;124.0;2667.86471
158;2019;Eritrea;Africa;3805.0;113.0;124.0;15064.188650000002
159;2019;Ethiopia;Africa;79281.0;117.0;129.0;252107.64107
160;2019;Mauritius;Africa;30.0;118.0;129.0;544.83339
161;2019;Rwanda;Africa;5001.0;119.0;132.0;27729.47661
162;2019;Senegal;Africa;9157.0;107.0;118.0;30539.39488
163;2019;Sierra Leone;Africa;10084.0;107.0;120.0;29335.51508
164;2019;South Sudan;Africa;13990.0;113.0;124.0;28288.916679999995
165;2019;Sao Tome and Principe;Africa;43.0;109.0;121.0;662.8705500000001
166;2019;Gabon;Africa;532.0;108.0;118.0;1315.4339700000003
167;2019;Ghana;Africa;11467.0;111.0;124.0;75522.84556
168;2019;Eswatini;Africa;829.0;116.0;126.0;3147.18756
169;2019;Guinea;Africa;12467.0;108.0;120.0;45324.89787
170;2019;Gambia;Africa;1139.0;107.0;119.0;5848.80475
171;2019;Seychelles;Africa;2.0;118.0;128.0;0.0
172;2019;Burundi;Africa;10790.0;111.0;123.0;30503.711079999997
173;2019;Guinea-Bissau;Africa;1717.0;108.0;120.0;5699.39049
174;2019;Equatorial Guinea;Africa;657.0;110.0;121.0;3037.8775900000005
175;2019;Chad;Africa;30113.0;111.0;120.0;56508.06544
176;2019;Togo;Africa;5796.0;108.0;121.0;24347.45965
177;2019;United Republic of Tanzania;Africa;31410.0;110.0;123.0;101293.08829000001
178;2019;Uganda;Africa;21546.0;114.0;126.0;74596.14086
179;2019;South Africa;Africa;21286.0;118.0;127.0;57560.06143
180;2019;Zambia;Africa;11338.0;114.0;126.0;37993.52019
181;2019;Zimbabwe;Africa;7918.0;116.0;127.0;38952.839719999996
182;2019;Angola;Africa;28459.0;110.0;121.0;55043.39659
